district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27
三重區,房地(土地+建物)+車位,新北市三重區重陽路四段61~90號,23.01,住,,,1080613,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070315,163.05,3,2,2,有,有,24710000,145510,塔式車位,1.48,1200000,,RPUNMLLMPHOFFGF66CA
三重區,房地(土地+建物)+車位,新北市三重區重陽路四段61~90號,21.89,住,,,1080617,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070315,155.08,3,2,1,有,有,20550000,125977,塔式車位,1.48,1200000,,RPVNMLLMPHOFFGF76CA
三重區,房地(土地+建物)+車位,新北市三重區環河北路三段271~300號,59.08,住,,,1080515,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980805,322.1,4,2,2,有,有,35500000,110214,坡道平面,31.78,0,含增建或未登記建物。;,RPUNMLRJQHOFFGF07CA
中和區,房地(土地+建物)+車位,新北市中和區中山路三段61~90號,24.26,住,,,1080618,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960516,165.3,3,2,2,有,有,18200000,110103,坡道平面,29.8,0,,RPPPMLMLPHOFFHF09CA
樹林區,房地(土地+建物),新北市樹林區復興路390巷1~30號,14.17,住,,,1080508,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820616,91.16,3,1,1,有,有,7000000,76788,,0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPUPMLOLPHOFFIF27CA
三峽區,房地(土地+建物)+車位,新北市三峽區長泰街61~90號,23.84,住,,,1080704,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071106,152.29,3,2,2,有,有,9650000,63366,坡道平面,30.02,0,,RPROMLQLPHOFFIF07CA
淡水區,房地(土地+建物)+車位,新北市淡水區新民街120巷1~30號,19.66,住,,,1080704,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860616,155.69,2,3,1,有,有,7000000,44160,坡道平面,24.35,1200000,含增建或未登記建物。,RPXQMLTLPHOFFEF87DA
淡水區,房地(土地+建物)+車位,新北市淡水區水碓25巷1~30號,39.12,,山坡地保育區,丙種建築用地,1080701,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840117,137.19,2,1,2,有,有,2700000,19681,坡道平面,0,0,,RPXNMLQLQHOFFEF47EA
新店區,房地(土地+建物)+車位,新北市新店區安康路二段121~150號,17.14,住,,,1080429,土地2建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980520,152.109999999999,3,2,2,有,有,14960000,112642,坡道平面,35.28,1800000,含增建或未登記建物。,RPSOMLLMPHOFFCF88DA
板橋區,房地(土地+建物),新北市板橋區中山路二段361~390號,13.28,商,,,1080618,土地1建物1車位0,二層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,860205,135.959999999999,2,1,1,有,有,15000000,110327,,0,0,含增建或未登記建物。,RPPPMLMKQHOFFAF48DA
