district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27
板橋區,房地(土地+建物),新北市板橋區中山路一段158巷1~30號,26.8,其他,,,1080624,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,701204,96.92,2,2,1,有,無,7000000,72225,,0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPXNMLKMQHOFFAF56EA
中和區,房地(土地+建物)+車位,新北市中和區中板路1~30號,37.83,工,,,1080701,土地1建物1車位1,三層,五層,廠辦,工業用,鋼筋混凝土造,810417,178.01,0,0,0,無,無,12900000,72468,坡道平面,36.05,0,,RPPOMLLLQHOFFHF09DA
鶯歌區,房地(土地+建物),新北市鶯歌區中山路329巷22弄1~30號,21.4,住,,,1080708,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,92.97,3,2,1,有,無,4550000,48941,,0,0,,RPWOMLLMPHOFFIF27DA
中和區,房地(土地+建物),新北市中和區自立路99巷22弄1~30號,35.47,住,,,1080622,土地2建物1車位0,二層，三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,771212,131.45,3,2,2,有,有,11770000,89540,,0,0,含增建或未登記建物,RPORMLLJQHOFFHF09DA
板橋區,房地(土地+建物),新北市板橋區大觀路二段150巷1~30號,32.39,住,,,1080714,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,85.69,1,1,1,有,無,8500000,99195,,0,0,,RPPPMLQLQHOFFAF09EA
蘆洲區,房地(土地+建物),新北市蘆洲區永平街32巷45弄1~30號,33.23,住,,,1080630,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,771010,104.69,3,2,2,有,無,8800000,84058,,0,0,,RPRPMLQJQHOFFGF96DA
樹林區,房地(土地+建物),新北市樹林區文化街1~30號,24.99,住,,,1080621,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,98.92,3,2,2,有,無,6600000,66721,,0,0,含增建或未登記建物。;,RPXNMLMJQHOFFIF07CA
中和區,房地(土地+建物),新北市中和區莒光路61~90號,23.15,住,,,1080708,土地1建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671130,82.34,3,1,1,有,無,7350000,89264,,0,0,,RPUQMLMKQHOFFHF07CA
中和區,房地(土地+建物),新北市中和區秀朗路三段128巷36弄1~30號,28.79,住,,,1080705,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690902,96.73,2,2,2,有,無,9200000,95110,,0,0,,RPUPMLLJQHOFFHF76CA
永和區,房地(土地+建物),新北市永和區竹林路119巷53弄1~30號,27.4,住,,,1080705,土地1建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680316,90.46,3,2,2,有,無,11500000,127128,,0,0,,RPRSMLLJQHOFFHF76CA
三重區,房地(土地+建物),新北市三重區正義南路89巷1~30號,26.86,住,,,1080625,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690718,90,4,0,4,有,無,10500000,116667,,0,0,含增建或未登記建物。;,RPUNMLQKQHOFFGF07CA
三重區,房地(土地+建物),新北市三重區永安北路一段27巷1~30號,11,住,,,1080706,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840214,36.67,1,1,1,有,無,3750000,102263,,0,0,含增建或未登記建物。;,RPPOMLLJQHOFFGF68CA
三重區,房地(土地+建物),新北市三重區大勇街61~90號,27.81,住,,,1080629,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,761013,98.28,0,0,0,無,無,11250000,114469,,0,0,含增建或未登記建物。,RPXOMLLMPHOFFGF07CA
淡水區,房地(土地+建物),新北市淡水區水源街二段74巷1~30號,24.66,住,,,1080706,土地1建物1車位0,地下一層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,830628,125.14,5,0,5,有,有,4350000,34761,,0,0,陽台外推,RPWPMLQJQHOFFEF17CA
新店區,房地(土地+建物),新北市新店區安德街121~150號,30.52,住,,,1080628,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,751205,103.34,3,2,2,有,無,6500000,62899,,0,0,,RPSNMLLJQHOFFCF48CA
五股區,房地(土地+建物),新北市五股區成泰路一段241巷7弄1~30號,31.18,住,,,1080709,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770428,106.43,3,1,1,有,無,5312000,49911,,0,0,,RPWNMLMJQHOFFBF88CA
土城區,房地(土地+建物),新北市土城區承天路91~120號,33.41,其他,,,1080712,土地1建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,871130,39.93,1,1,1,有,有,2500000,62610,,0,0,,RPUNMLMKQHOFFAF68CA
土城區,房地(土地+建物),新北市土城區明德路一段60巷1~30號,35.3,住,,,1080610,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,770915,122.11,3,2,2,有,無,4900000,40128,,0,0,親友、員工或其他特殊關係間之交易。;二親等買賣,RPVNMLRJQHOFFAF56CA
板橋區,房地(土地+建物),新北市板橋區宏國路1~30號,17.8,住,,,1080603,土地1建物1車位0,一層，騎樓,五層,店面(店鋪),見使用執照,鋼筋混凝土造,,74.58,0,0,0,無,無,20100000,269509,,0,0,,RPVPMLQKPHOFFAF66CA
